,Topic,IPC,Quantity
0,0,A,4600
1,1,A,1158
2,2,A,1066
3,3,A,860
4,4,A,1402
5,5,A,663
6,6,A,260
7,7,A,698
8,8,A,105
9,9,A,220
10,10,A,5
11,11,A,22
12,12,A,298
13,13,A,10
14,14,A,318
15,15,A,243
16,16,A,64
17,17,A,24
18,18,A,17
19,19,A,106
20,20,A,74
21,21,A,263
22,22,A,62
23,23,A,76
24,24,A,2
25,25,A,8
26,26,A,158
27,27,A,185
28,28,A,24
29,29,A,108
30,30,A,42
31,31,A,96
32,32,A,123
33,33,A,73
34,34,A,59
35,35,A,65
36,36,A,44
37,37,A,83
38,38,A,103
39,39,A,41
40,40,A,58
41,41,A,63
42,0,B,24
43,1,B,56
44,2,B,57
45,3,B,1
46,4,B,1
47,5,B,8
48,6,B,5
49,7,B,31
50,8,B,0
51,9,B,109
52,10,B,120
53,11,B,27
54,12,B,0
55,13,B,91
56,14,B,2
57,15,B,7
58,16,B,13
59,17,B,1
60,18,B,0
61,19,B,0
62,20,B,0
63,21,B,0
64,22,B,0
65,23,B,0
66,24,B,35
67,25,B,61
68,26,B,0
69,27,B,0
70,28,B,3
71,29,B,1
72,30,B,7
73,31,B,50
74,32,B,1
75,33,B,0
76,34,B,0
77,35,B,0
78,36,B,0
79,37,B,10
80,38,B,0
81,39,B,0
82,40,B,0
83,41,B,0
84,0,C,4348
85,1,C,53
86,2,C,2017
87,3,C,1839
88,4,C,1209
89,5,C,1234
90,6,C,1549
91,7,C,224
92,8,C,510
93,9,C,152
94,10,C,340
95,11,C,130
96,12,C,143
97,13,C,105
98,14,C,63
99,15,C,82
100,16,C,187
101,17,C,257
102,18,C,281
103,19,C,156
104,20,C,175
105,21,C,26
106,22,C,197
107,23,C,178
108,24,C,14
109,25,C,64
110,26,C,61
111,27,C,2
112,28,C,148
113,29,C,43
114,30,C,104
115,31,C,7
116,32,C,29
117,33,C,41
118,34,C,56
119,35,C,55
120,36,C,35
121,37,C,38
122,38,C,20
123,39,C,81
124,40,C,34
125,41,C,51
126,0,D,1
127,1,D,0
128,2,D,10
129,3,D,0
130,4,D,0
131,5,D,0
132,6,D,0
133,7,D,2
134,8,D,0
135,9,D,2
136,10,D,2
137,11,D,1
138,12,D,0
139,13,D,0
140,14,D,1
141,15,D,0
142,16,D,0
143,17,D,0
144,18,D,0
145,19,D,0
146,20,D,0
147,21,D,0
148,22,D,0
149,23,D,0
150,24,D,0
151,25,D,20
152,26,D,0
153,27,D,0
154,28,D,0
155,29,D,0
156,30,D,1
157,31,D,0
158,32,D,0
159,33,D,0
160,34,D,0
161,35,D,0
162,36,D,0
163,37,D,0
164,38,D,0
165,39,D,0
166,40,D,0
167,41,D,0
168,0,E,0
169,1,E,1
170,2,E,6
171,3,E,0
172,4,E,0
173,5,E,0
174,6,E,0
175,7,E,6
176,8,E,0
177,9,E,0
178,10,E,0
179,11,E,2
180,12,E,0
181,13,E,3
182,14,E,0
183,15,E,0
184,16,E,0
185,17,E,0
186,18,E,0
187,19,E,0
188,20,E,0
189,21,E,0
190,22,E,0
191,23,E,0
192,24,E,0
193,25,E,0
194,26,E,0
195,27,E,0
196,28,E,0
197,29,E,0
198,30,E,2
199,31,E,0
200,32,E,0
201,33,E,0
202,34,E,0
203,35,E,0
204,36,E,0
205,37,E,0
206,38,E,1
207,39,E,0
208,40,E,0
209,41,E,0
210,0,F,0
211,1,F,15
212,2,F,3
213,3,F,0
214,4,F,0
215,5,F,0
216,6,F,0
217,7,F,0
218,8,F,0
219,9,F,2
220,10,F,0
221,11,F,4
222,12,F,0
223,13,F,1
224,14,F,0
225,15,F,0
226,16,F,2
227,17,F,0
228,18,F,0
229,19,F,0
230,20,F,0
231,21,F,0
232,22,F,0
233,23,F,0
234,24,F,2
235,25,F,3
236,26,F,0
237,27,F,0
238,28,F,0
239,29,F,0
240,30,F,0
241,31,F,0
242,32,F,0
243,33,F,0
244,34,F,0
245,35,F,0
246,36,F,0
247,37,F,0
248,38,F,1
249,39,F,0
250,40,F,0
251,41,F,0
252,0,G,1140
253,1,G,1791
254,2,G,98
255,3,G,28
256,4,G,88
257,5,G,164
258,6,G,97
259,7,G,35
260,8,G,255
261,9,G,53
262,10,G,4
263,11,G,38
264,12,G,26
265,13,G,231
266,14,G,18
267,15,G,5
268,16,G,43
269,17,G,28
270,18,G,2
271,19,G,32
272,20,G,44
273,21,G,0
274,22,G,25
275,23,G,17
276,24,G,83
277,25,G,28
278,26,G,12
279,27,G,0
280,28,G,4
281,29,G,17
282,30,G,5
283,31,G,3
284,32,G,6
285,33,G,41
286,34,G,26
287,35,G,20
288,36,G,59
289,37,G,5
290,38,G,3
291,39,G,7
292,40,G,37
293,41,G,8
294,0,H,11
295,1,H,441
296,2,H,4
297,3,H,0
298,4,H,0
299,5,H,8
300,6,H,2
301,7,H,3
302,8,H,0
303,9,H,63
304,10,H,7
305,11,H,261
306,12,H,0
307,13,H,11
308,14,H,0
309,15,H,0
310,16,H,14
311,17,H,0
312,18,H,0
313,19,H,0
314,20,H,1
315,21,H,0
316,22,H,0
317,23,H,0
318,24,H,102
319,25,H,50
320,26,H,0
321,27,H,0
322,28,H,0
323,29,H,0
324,30,H,5
325,31,H,4
326,32,H,0
327,33,H,0
328,34,H,0
329,35,H,0
330,36,H,0
331,37,H,0
332,38,H,1
333,39,H,0
334,40,H,0
335,41,H,0
