,Topic,IPC,Quantity
0,0,A,927
1,1,A,673
2,2,A,1116
3,3,A,329
4,4,A,365
5,5,A,219
6,6,A,121
7,7,A,175
8,8,A,108
9,9,A,137
10,10,A,98
11,11,A,55
12,12,A,26
13,13,A,28
14,14,A,64
15,15,A,31
16,16,A,42
17,17,A,38
18,18,A,39
19,19,A,23
20,20,A,24
21,21,A,32
22,0,B,18
23,1,B,221
24,2,B,108
25,3,B,3
26,4,B,0
27,5,B,1
28,6,B,2
29,7,B,0
30,8,B,0
31,9,B,1
32,10,B,0
33,11,B,0
34,12,B,0
35,13,B,0
36,14,B,1
37,15,B,0
38,16,B,0
39,17,B,0
40,18,B,0
41,19,B,0
42,20,B,0
43,21,B,0
44,0,C,1850
45,1,C,314
46,2,C,693
47,3,C,777
48,4,C,301
49,5,C,76
50,6,C,138
51,7,C,42
52,8,C,102
53,9,C,58
54,10,C,50
55,11,C,35
56,12,C,65
57,13,C,60
58,14,C,17
59,15,C,38
60,16,C,24
61,17,C,23
62,18,C,15
63,19,C,22
64,20,C,26
65,21,C,16
66,0,D,0
67,1,D,3
68,2,D,1
69,3,D,1
70,4,D,0
71,5,D,0
72,6,D,0
73,7,D,0
74,8,D,0
75,9,D,0
76,10,D,0
77,11,D,0
78,12,D,0
79,13,D,0
80,14,D,0
81,15,D,0
82,16,D,0
83,17,D,0
84,18,D,0
85,19,D,0
86,20,D,0
87,21,D,0
88,0,E,0
89,1,E,13
90,2,E,2
91,3,E,0
92,4,E,0
93,5,E,0
94,6,E,0
95,7,E,0
96,8,E,0
97,9,E,0
98,10,E,0
99,11,E,0
100,12,E,0
101,13,E,0
102,14,E,0
103,15,E,0
104,16,E,0
105,17,E,0
106,18,E,0
107,19,E,0
108,20,E,0
109,21,E,0
110,0,F,0
111,1,F,19
112,2,F,0
113,3,F,0
114,4,F,0
115,5,F,0
116,6,F,0
117,7,F,0
118,8,F,0
119,9,F,0
120,10,F,0
121,11,F,0
122,12,F,0
123,13,F,0
124,14,F,0
125,15,F,0
126,16,F,0
127,17,F,0
128,18,F,0
129,19,F,0
130,20,F,0
131,21,F,0
132,0,G,289
133,1,G,748
134,2,G,29
135,3,G,12
136,4,G,128
137,5,G,21
138,6,G,5
139,7,G,17
140,8,G,12
141,9,G,15
142,10,G,24
143,11,G,6
144,12,G,7
145,13,G,7
146,14,G,4
147,15,G,4
148,16,G,0
149,17,G,3
150,18,G,6
151,19,G,8
152,20,G,1
153,21,G,3
154,0,H,3
155,1,H,162
156,2,H,1
157,3,H,0
158,4,H,0
159,5,H,0
160,6,H,0
161,7,H,0
162,8,H,0
163,9,H,0
164,10,H,0
165,11,H,2
166,12,H,0
167,13,H,0
168,14,H,0
169,15,H,0
170,16,H,0
171,17,H,0
172,18,H,0
173,19,H,0
174,20,H,0
175,21,H,0
