,Topic,IPC,Quantity
0,0,A,25519
1,1,A,505
2,2,A,273
3,3,A,778
4,4,A,567
5,5,A,1883
6,6,A,20
7,7,A,1596
8,8,A,31
9,9,A,79
10,10,A,1440
11,11,A,44
12,12,A,1094
13,13,A,1045
14,14,A,111
15,15,A,140
16,16,A,722
17,17,A,225
18,18,A,738
19,19,A,33
20,20,A,550
21,21,A,126
22,22,A,643
23,23,A,108
24,24,A,17
25,25,A,14
26,26,A,46
27,27,A,498
28,28,A,11
29,29,A,364
30,30,A,436
31,31,A,420
32,32,A,126
33,33,A,58
34,34,A,401
35,35,A,58
36,36,A,2
37,37,A,25
38,38,A,496
39,39,A,0
40,40,A,16
41,41,A,378
42,42,A,44
43,43,A,374
44,44,A,509
45,45,A,17
46,46,A,14
47,47,A,102
48,48,A,342
49,49,A,44
50,50,A,104
51,51,A,67
52,52,A,74
53,53,A,290
54,54,A,288
55,55,A,17
56,56,A,334
57,57,A,159
58,58,A,398
59,59,A,28
60,60,A,241
61,61,A,246
62,62,A,245
63,63,A,207
64,64,A,142
65,65,A,228
66,66,A,184
67,67,A,302
68,68,A,94
69,69,A,202
70,70,A,7
71,71,A,206
72,72,A,58
73,73,A,9
74,74,A,54
75,75,A,21
76,76,A,57
77,77,A,34
78,78,A,64
79,79,A,305
80,80,A,253
81,81,A,52
82,82,A,145
83,83,A,9
84,84,A,17
85,85,A,99
86,86,A,11
87,87,A,135
88,88,A,149
89,89,A,11
90,90,A,65
91,91,A,277
92,92,A,15
93,93,A,3
94,94,A,33
95,95,A,18
96,96,A,245
97,97,A,127
98,98,A,146
99,99,A,36
100,100,A,102
101,101,A,0
102,102,A,152
103,103,A,25
104,104,A,60
105,105,A,0
106,106,A,147
107,0,B,386
108,1,B,563
109,2,B,803
110,3,B,38
111,4,B,46
112,5,B,124
113,6,B,34
114,7,B,47
115,8,B,63
116,9,B,117
117,10,B,8
118,11,B,21
119,12,B,1
120,13,B,2
121,14,B,40
122,15,B,3
123,16,B,3
124,17,B,33
125,18,B,2
126,19,B,44
127,20,B,71
128,21,B,12
129,22,B,16
130,23,B,112
131,24,B,1
132,25,B,134
133,26,B,184
134,27,B,0
135,28,B,14
136,29,B,7
137,30,B,8
138,31,B,107
139,32,B,7
140,33,B,47
141,34,B,0
142,35,B,314
143,36,B,2
144,37,B,144
145,38,B,4
146,39,B,5
147,40,B,228
148,41,B,1
149,42,B,29
150,43,B,0
151,44,B,4
152,45,B,0
153,46,B,29
154,47,B,0
155,48,B,6
156,49,B,3
157,50,B,7
158,51,B,61
159,52,B,0
160,53,B,3
161,54,B,0
162,55,B,0
163,56,B,0
164,57,B,0
165,58,B,0
166,59,B,49
167,60,B,0
168,61,B,3
169,62,B,1
170,63,B,0
171,64,B,0
172,65,B,0
173,66,B,0
174,67,B,1
175,68,B,30
176,69,B,12
177,70,B,6
178,71,B,0
179,72,B,0
180,73,B,52
181,74,B,9
182,75,B,171
183,76,B,3
184,77,B,212
185,78,B,0
186,79,B,2
187,80,B,0
188,81,B,27
189,82,B,0
190,83,B,26
191,84,B,81
192,85,B,14
193,86,B,0
194,87,B,0
195,88,B,51
196,89,B,2
197,90,B,1
198,91,B,0
199,92,B,7
200,93,B,34
201,94,B,0
202,95,B,2
203,96,B,0
204,97,B,0
205,98,B,5
206,99,B,0
207,100,B,0
208,101,B,6
209,102,B,0
210,103,B,0
211,104,B,7
212,105,B,2
213,106,B,0
214,0,C,28312
215,1,C,2315
216,2,C,2697
217,3,C,2558
218,4,C,1814
