,Topic,IPC,Quantity
0,0,A,14020
1,1,A,620
2,2,A,2297
3,3,A,253
4,4,A,1917
5,5,A,1407
6,6,A,165
7,7,A,18
8,8,A,1117
9,9,A,897
10,10,A,198
11,11,A,2
12,12,A,46
13,13,A,142
14,14,A,546
15,15,A,200
16,16,A,12
17,17,A,24
18,18,A,93
19,19,A,0
20,20,A,590
21,21,A,451
22,22,A,0
23,23,A,15
24,24,A,105
25,25,A,7
26,26,A,2
27,27,A,178
28,28,A,251
29,29,A,87
30,30,A,0
31,31,A,220
32,32,A,253
33,33,A,14
34,34,A,10
35,35,A,168
36,36,A,225
37,37,A,61
38,38,A,257
39,39,A,0
40,40,A,124
41,41,A,22
42,42,A,161
43,43,A,122
44,44,A,4
45,45,A,93
46,46,A,34
47,47,A,144
48,48,A,8
49,49,A,46
50,50,A,25
51,51,A,7
52,52,A,10
53,53,A,15
54,54,A,123
55,55,A,133
56,56,A,14
57,57,A,116
58,58,A,118
59,59,A,55
60,60,A,128
61,61,A,147
62,62,A,71
63,0,B,198
64,1,B,952
65,2,B,9
66,3,B,315
67,4,B,44
68,5,B,142
69,6,B,34
70,7,B,4
71,8,B,25
72,9,B,5
73,10,B,114
74,11,B,10
75,12,B,31
76,13,B,69
77,14,B,0
78,15,B,2
79,16,B,102
80,17,B,21
81,18,B,0
82,19,B,0
83,20,B,0
84,21,B,1
85,22,B,4
86,23,B,116
87,24,B,1
88,25,B,9
89,26,B,19
90,27,B,3
91,28,B,0
92,29,B,0
93,30,B,1
94,31,B,10
95,32,B,1
96,33,B,3
97,34,B,68
98,35,B,2
99,36,B,1
100,37,B,27
101,38,B,0
102,39,B,22
103,40,B,0
104,41,B,147
105,42,B,0
106,43,B,0
107,44,B,1
108,45,B,2
109,46,B,3
110,47,B,0
111,48,B,2
112,49,B,0
113,50,B,0
114,51,B,0
115,52,B,27
116,53,B,0
117,54,B,0
118,55,B,1
119,56,B,11
120,57,B,1
121,58,B,1
122,59,B,26
123,60,B,0
124,61,B,0
125,62,B,0
126,0,C,21577
127,1,C,3193
128,2,C,1751
129,3,C,579
130,4,C,35
131,5,C,397
132,6,C,25
133,7,C,1
134,8,C,272
135,9,C,474
136,10,C,870
137,11,C,27
138,12,C,739
139,13,C,205
140,14,C,169
141,15,C,418
142,16,C,219
143,17,C,98
144,18,C,487
145,19,C,1
146,20,C,5
147,21,C,96
148,22,C,0
149,23,C,174
150,24,C,407
151,25,C,128
152,26,C,80
153,27,C,0
154,28,C,162
155,29,C,2
