,Topic,Discipline,Quantity
0,0,MATERIALS SCIENCE,0
1,1,MATERIALS SCIENCE,0
2,2,MATERIALS SCIENCE,0
3,3,MATERIALS SCIENCE,1
4,4,MATERIALS SCIENCE,0
5,5,MATERIALS SCIENCE,0
6,6,MATERIALS SCIENCE,0
7,7,MATERIALS SCIENCE,0
8,8,MATERIALS SCIENCE,0
9,9,MATERIALS SCIENCE,1
10,10,MATERIALS SCIENCE,0
11,11,MATERIALS SCIENCE,0
12,12,MATERIALS SCIENCE,0
13,13,MATERIALS SCIENCE,0
14,14,MATERIALS SCIENCE,0
15,15,MATERIALS SCIENCE,0
16,16,MATERIALS SCIENCE,0
17,17,MATERIALS SCIENCE,0
18,18,MATERIALS SCIENCE,0
19,19,MATERIALS SCIENCE,0
20,20,MATERIALS SCIENCE,1
21,21,MATERIALS SCIENCE,0
22,22,MATERIALS SCIENCE,0
23,23,MATERIALS SCIENCE,0
24,24,MATERIALS SCIENCE,0
25,25,MATERIALS SCIENCE,0
26,26,MATERIALS SCIENCE,0
27,27,MATERIALS SCIENCE,0
28,28,MATERIALS SCIENCE,0
29,29,MATERIALS SCIENCE,0
30,30,MATERIALS SCIENCE,0
31,31,MATERIALS SCIENCE,0
32,32,MATERIALS SCIENCE,0
33,33,MATERIALS SCIENCE,0
34,34,MATERIALS SCIENCE,0
35,35,MATERIALS SCIENCE,0
36,36,MATERIALS SCIENCE,0
37,37,MATERIALS SCIENCE,0
38,38,MATERIALS SCIENCE,0
39,39,MATERIALS SCIENCE,0
40,40,MATERIALS SCIENCE,0
41,41,MATERIALS SCIENCE,0
42,42,MATERIALS SCIENCE,0
43,43,MATERIALS SCIENCE,0
44,44,MATERIALS SCIENCE,0
45,45,MATERIALS SCIENCE,0
46,46,MATERIALS SCIENCE,0
47,47,MATERIALS SCIENCE,0
48,0,BIOLOGY & BIOCHEMISTRY,74
49,1,BIOLOGY & BIOCHEMISTRY,38
50,2,BIOLOGY & BIOCHEMISTRY,150
51,3,BIOLOGY & BIOCHEMISTRY,11
52,4,BIOLOGY & BIOCHEMISTRY,41
53,5,BIOLOGY & BIOCHEMISTRY,193
54,6,BIOLOGY & BIOCHEMISTRY,38
55,7,BIOLOGY & BIOCHEMISTRY,24
56,8,BIOLOGY & BIOCHEMISTRY,138
57,9,BIOLOGY & BIOCHEMISTRY,20
58,10,BIOLOGY & BIOCHEMISTRY,19
59,11,BIOLOGY & BIOCHEMISTRY,19
60,12,BIOLOGY & BIOCHEMISTRY,21
61,13,BIOLOGY & BIOCHEMISTRY,12
62,14,BIOLOGY & BIOCHEMISTRY,9
63,15,BIOLOGY & BIOCHEMISTRY,6
64,16,BIOLOGY & BIOCHEMISTRY,2
65,17,BIOLOGY & BIOCHEMISTRY,3
66,18,BIOLOGY & BIOCHEMISTRY,1
67,19,BIOLOGY & BIOCHEMISTRY,7
68,20,BIOLOGY & BIOCHEMISTRY,17
69,21,BIOLOGY & BIOCHEMISTRY,50
70,22,BIOLOGY & BIOCHEMISTRY,12
71,23,BIOLOGY & BIOCHEMISTRY,0
72,24,BIOLOGY & BIOCHEMISTRY,2
73,25,BIOLOGY & BIOCHEMISTRY,15
74,26,BIOLOGY & BIOCHEMISTRY,16
75,27,BIOLOGY & BIOCHEMISTRY,13
76,28,BIOLOGY & BIOCHEMISTRY,0
77,29,BIOLOGY & BIOCHEMISTRY,3
78,30,BIOLOGY & BIOCHEMISTRY,70
79,31,BIOLOGY & BIOCHEMISTRY,7
80,32,BIOLOGY & BIOCHEMISTRY,6
81,33,BIOLOGY & BIOCHEMISTRY,0
82,34,BIOLOGY & BIOCHEMISTRY,17
83,35,BIOLOGY & BIOCHEMISTRY,10
