,Topic,Discipline,Quantity
0,0,MATERIALS SCIENCE,89
1,1,MATERIALS SCIENCE,98
2,2,MATERIALS SCIENCE,8
3,3,MATERIALS SCIENCE,5
4,4,MATERIALS SCIENCE,1
5,5,MATERIALS SCIENCE,0
6,6,MATERIALS SCIENCE,174
7,7,MATERIALS SCIENCE,128
8,8,MATERIALS SCIENCE,22
9,9,MATERIALS SCIENCE,0
10,10,MATERIALS SCIENCE,2
11,11,MATERIALS SCIENCE,0
12,12,MATERIALS SCIENCE,149
13,13,MATERIALS SCIENCE,0
14,14,MATERIALS SCIENCE,44
15,15,MATERIALS SCIENCE,0
16,16,MATERIALS SCIENCE,1
17,17,MATERIALS SCIENCE,4
18,18,MATERIALS SCIENCE,43
19,19,MATERIALS SCIENCE,0
20,20,MATERIALS SCIENCE,33
21,21,MATERIALS SCIENCE,0
22,22,MATERIALS SCIENCE,0
23,23,MATERIALS SCIENCE,0
24,24,MATERIALS SCIENCE,2
25,25,MATERIALS SCIENCE,0
26,26,MATERIALS SCIENCE,68
27,27,MATERIALS SCIENCE,108
28,28,MATERIALS SCIENCE,1
29,29,MATERIALS SCIENCE,1
30,30,MATERIALS SCIENCE,0
31,31,MATERIALS SCIENCE,2
32,32,MATERIALS SCIENCE,18
33,33,MATERIALS SCIENCE,26
34,34,MATERIALS SCIENCE,11
35,35,MATERIALS SCIENCE,0
36,36,MATERIALS SCIENCE,0
37,37,MATERIALS SCIENCE,13
38,38,MATERIALS SCIENCE,52
39,39,MATERIALS SCIENCE,2
40,40,MATERIALS SCIENCE,1
41,41,MATERIALS SCIENCE,0
42,42,MATERIALS SCIENCE,0
43,43,MATERIALS SCIENCE,0
44,44,MATERIALS SCIENCE,0
45,45,MATERIALS SCIENCE,4
46,46,MATERIALS SCIENCE,0
47,47,MATERIALS SCIENCE,0
48,0,BIOLOGY & BIOCHEMISTRY,421
49,1,BIOLOGY & BIOCHEMISTRY,604
50,2,BIOLOGY & BIOCHEMISTRY,21
51,3,BIOLOGY & BIOCHEMISTRY,92
52,4,BIOLOGY & BIOCHEMISTRY,155
53,5,BIOLOGY & BIOCHEMISTRY,8
54,6,BIOLOGY & BIOCHEMISTRY,42
55,7,BIOLOGY & BIOCHEMISTRY,51
56,8,BIOLOGY & BIOCHEMISTRY,2
57,9,BIOLOGY & BIOCHEMISTRY,14
58,10,BIOLOGY & BIOCHEMISTRY,77
59,11,BIOLOGY & BIOCHEMISTRY,11
60,12,BIOLOGY & BIOCHEMISTRY,1
61,13,BIOLOGY & BIOCHEMISTRY,95
62,14,BIOLOGY & BIOCHEMISTRY,7
63,15,BIOLOGY & BIOCHEMISTRY,28
64,16,BIOLOGY & BIOCHEMISTRY,131
65,17,BIOLOGY & BIOCHEMISTRY,24
66,18,BIOLOGY & BIOCHEMISTRY,1
67,19,BIOLOGY & BIOCHEMISTRY,86
68,20,BIOLOGY & BIOCHEMISTRY,34
69,21,BIOLOGY & BIOCHEMISTRY,13
70,22,BIOLOGY & BIOCHEMISTRY,28
71,23,BIOLOGY & BIOCHEMISTRY,7
72,24,BIOLOGY & BIOCHEMISTRY,16
73,25,BIOLOGY & BIOCHEMISTRY,18
74,26,BIOLOGY & BIOCHEMISTRY,0
75,27,BIOLOGY & BIOCHEMISTRY,0
76,28,BIOLOGY & BIOCHEMISTRY,2
77,29,BIOLOGY & BIOCHEMISTRY,2
78,30,BIOLOGY & BIOCHEMISTRY,13
79,31,BIOLOGY & BIOCHEMISTRY,4
80,32,BIOLOGY & BIOCHEMISTRY,0
81,33,BIOLOGY & BIOCHEMISTRY,11
82,34,BIOLOGY & BIOCHEMISTRY,0
83,35,BIOLOGY & BIOCHEMISTRY,12
84,36,BIOLOGY & BIOCHEMISTRY,1
85,37,BIOLOGY & BIOCHEMISTRY,17
86,38,BIOLOGY & BIOCHEMISTRY,0
87,39,BIOLOGY & BIOCHEMISTRY,1
88,40,BIOLOGY & BIOCHEMISTRY,4
89,41,BIOLOGY & BIOCHEMISTRY,0
90,42,BIOLOGY & BIOCHEMISTRY,0
91,43,BIOLOGY & BIOCHEMISTRY,1
92,44,BIOLOGY & BIOCHEMISTRY,45
93,45,BIOLOGY & BIOCHEMISTRY,20
