,Topic,Discipline,Quantity
0,0,MATERIALS SCIENCE,3
1,1,MATERIALS SCIENCE,1
2,2,MATERIALS SCIENCE,140
3,3,MATERIALS SCIENCE,3
4,4,MATERIALS SCIENCE,1
5,5,MATERIALS SCIENCE,0
6,6,MATERIALS SCIENCE,0
7,7,MATERIALS SCIENCE,1
8,8,MATERIALS SCIENCE,0
9,9,MATERIALS SCIENCE,0
10,10,MATERIALS SCIENCE,0
11,11,MATERIALS SCIENCE,0
12,12,MATERIALS SCIENCE,0
13,13,MATERIALS SCIENCE,0
14,14,MATERIALS SCIENCE,5
15,15,MATERIALS SCIENCE,0
16,16,MATERIALS SCIENCE,0
17,17,MATERIALS SCIENCE,6
18,18,MATERIALS SCIENCE,0
19,19,MATERIALS SCIENCE,0
20,20,MATERIALS SCIENCE,0
21,21,MATERIALS SCIENCE,0
22,22,MATERIALS SCIENCE,0
23,23,MATERIALS SCIENCE,0
24,24,MATERIALS SCIENCE,1
25,25,MATERIALS SCIENCE,0
26,26,MATERIALS SCIENCE,0
27,27,MATERIALS SCIENCE,0
28,28,MATERIALS SCIENCE,0
29,29,MATERIALS SCIENCE,0
30,30,MATERIALS SCIENCE,0
31,31,MATERIALS SCIENCE,1
32,32,MATERIALS SCIENCE,1
33,33,MATERIALS SCIENCE,1
34,34,MATERIALS SCIENCE,0
35,35,MATERIALS SCIENCE,0
36,36,MATERIALS SCIENCE,0
37,37,MATERIALS SCIENCE,0
38,38,MATERIALS SCIENCE,3
39,39,MATERIALS SCIENCE,0
40,40,MATERIALS SCIENCE,0
41,41,MATERIALS SCIENCE,1
42,42,MATERIALS SCIENCE,0
43,43,MATERIALS SCIENCE,1
44,44,MATERIALS SCIENCE,0
45,45,MATERIALS SCIENCE,0
46,46,MATERIALS SCIENCE,0
47,47,MATERIALS SCIENCE,0
48,48,MATERIALS SCIENCE,3
49,49,MATERIALS SCIENCE,0
50,50,MATERIALS SCIENCE,1
51,51,MATERIALS SCIENCE,0
52,52,MATERIALS SCIENCE,0
53,53,MATERIALS SCIENCE,0
54,54,MATERIALS SCIENCE,0
55,55,MATERIALS SCIENCE,0
56,56,MATERIALS SCIENCE,0
57,57,MATERIALS SCIENCE,0
58,58,MATERIALS SCIENCE,0
59,59,MATERIALS SCIENCE,1
60,60,MATERIALS SCIENCE,0
61,61,MATERIALS SCIENCE,0
62,62,MATERIALS SCIENCE,0
63,63,MATERIALS SCIENCE,0
64,64,MATERIALS SCIENCE,0
65,65,MATERIALS SCIENCE,0
66,66,MATERIALS SCIENCE,0
67,67,MATERIALS SCIENCE,0
68,68,MATERIALS SCIENCE,0
69,0,BIOLOGY & BIOCHEMISTRY,318
70,1,BIOLOGY & BIOCHEMISTRY,105
71,2,BIOLOGY & BIOCHEMISTRY,70
72,3,BIOLOGY & BIOCHEMISTRY,26
73,4,BIOLOGY & BIOCHEMISTRY,57
74,5,BIOLOGY & BIOCHEMISTRY,8
75,6,BIOLOGY & BIOCHEMISTRY,9
76,7,BIOLOGY & BIOCHEMISTRY,37
77,8,BIOLOGY & BIOCHEMISTRY,60
78,9,BIOLOGY & BIOCHEMISTRY,19
79,10,BIOLOGY & BIOCHEMISTRY,65
80,11,BIOLOGY & BIOCHEMISTRY,14
81,12,BIOLOGY & BIOCHEMISTRY,162
82,13,BIOLOGY & BIOCHEMISTRY,7
83,14,BIOLOGY & BIOCHEMISTRY,64
84,15,BIOLOGY & BIOCHEMISTRY,13
85,16,BIOLOGY & BIOCHEMISTRY,15
86,17,BIOLOGY & BIOCHEMISTRY,10
87,18,BIOLOGY & BIOCHEMISTRY,55
88,19,BIOLOGY & BIOCHEMISTRY,24
89,20,BIOLOGY & BIOCHEMISTRY,1
90,21,BIOLOGY & BIOCHEMISTRY,11
91,22,BIOLOGY & BIOCHEMISTRY,6
92,23,BIOLOGY & BIOCHEMISTRY,25
93,24,BIOLOGY & BIOCHEMISTRY,24
94,25,BIOLOGY & BIOCHEMISTRY,4
95,26,BIOLOGY & BIOCHEMISTRY,3
96,27,BIOLOGY & BIOCHEMISTRY,6
97,28,BIOLOGY & BIOCHEMISTRY,0
98,29,BIOLOGY & BIOCHEMISTRY,11
99,30,BIOLOGY & BIOCHEMISTRY,2
100,31,BIOLOGY & BIOCHEMISTRY,17
101,32,BIOLOGY & BIOCHEMISTRY,0
102,33,BIOLOGY & BIOCHEMISTRY,1
103,34,BIOLOGY & BIOCHEMISTRY,7
104,35,BIOLOGY & BIOCHEMISTRY,0
