,Topic,Discipline,Quantity
0,0,MATERIALS SCIENCE,3
1,1,MATERIALS SCIENCE,12
2,2,MATERIALS SCIENCE,22
3,3,MATERIALS SCIENCE,392
4,4,MATERIALS SCIENCE,11
5,5,MATERIALS SCIENCE,6
6,6,MATERIALS SCIENCE,438
7,7,MATERIALS SCIENCE,2
8,8,MATERIALS SCIENCE,3
9,9,MATERIALS SCIENCE,10
10,10,MATERIALS SCIENCE,1
11,11,MATERIALS SCIENCE,1
12,12,MATERIALS SCIENCE,66
13,13,MATERIALS SCIENCE,212
14,14,MATERIALS SCIENCE,0
15,15,MATERIALS SCIENCE,133
16,16,MATERIALS SCIENCE,11
17,17,MATERIALS SCIENCE,1
18,18,MATERIALS SCIENCE,33
19,19,MATERIALS SCIENCE,2
20,20,MATERIALS SCIENCE,60
21,21,MATERIALS SCIENCE,2
22,22,MATERIALS SCIENCE,1
23,23,MATERIALS SCIENCE,5
24,24,MATERIALS SCIENCE,0
25,25,MATERIALS SCIENCE,2
26,26,MATERIALS SCIENCE,0
27,27,MATERIALS SCIENCE,2
28,28,MATERIALS SCIENCE,6
29,29,MATERIALS SCIENCE,1
30,30,MATERIALS SCIENCE,0
31,31,MATERIALS SCIENCE,1
32,32,MATERIALS SCIENCE,0
33,33,MATERIALS SCIENCE,0
34,34,MATERIALS SCIENCE,6
35,35,MATERIALS SCIENCE,149
36,36,MATERIALS SCIENCE,0
37,37,MATERIALS SCIENCE,26
38,38,MATERIALS SCIENCE,67
39,39,MATERIALS SCIENCE,2
40,40,MATERIALS SCIENCE,2
41,41,MATERIALS SCIENCE,1
42,42,MATERIALS SCIENCE,0
43,43,MATERIALS SCIENCE,91
44,44,MATERIALS SCIENCE,0
45,45,MATERIALS SCIENCE,8
46,46,MATERIALS SCIENCE,0
47,47,MATERIALS SCIENCE,0
48,48,MATERIALS SCIENCE,1
49,49,MATERIALS SCIENCE,1
50,50,MATERIALS SCIENCE,2
51,51,MATERIALS SCIENCE,31
52,52,MATERIALS SCIENCE,7
53,53,MATERIALS SCIENCE,0
54,54,MATERIALS SCIENCE,0
55,55,MATERIALS SCIENCE,34
56,56,MATERIALS SCIENCE,0
57,0,BIOLOGY & BIOCHEMISTRY,397
58,1,BIOLOGY & BIOCHEMISTRY,173
59,2,BIOLOGY & BIOCHEMISTRY,131
60,3,BIOLOGY & BIOCHEMISTRY,144
61,4,BIOLOGY & BIOCHEMISTRY,127
62,5,BIOLOGY & BIOCHEMISTRY,48
63,6,BIOLOGY & BIOCHEMISTRY,2
64,7,BIOLOGY & BIOCHEMISTRY,9
65,8,BIOLOGY & BIOCHEMISTRY,269
66,9,BIOLOGY & BIOCHEMISTRY,188
67,10,BIOLOGY & BIOCHEMISTRY,3
68,11,BIOLOGY & BIOCHEMISTRY,33
69,12,BIOLOGY & BIOCHEMISTRY,3
70,13,BIOLOGY & BIOCHEMISTRY,0
71,14,BIOLOGY & BIOCHEMISTRY,0
72,15,BIOLOGY & BIOCHEMISTRY,13
73,16,BIOLOGY & BIOCHEMISTRY,39
74,17,BIOLOGY & BIOCHEMISTRY,44
75,18,BIOLOGY & BIOCHEMISTRY,1
76,19,BIOLOGY & BIOCHEMISTRY,52
77,20,BIOLOGY & BIOCHEMISTRY,12
78,21,BIOLOGY & BIOCHEMISTRY,8
79,22,BIOLOGY & BIOCHEMISTRY,14
80,23,BIOLOGY & BIOCHEMISTRY,23
81,24,BIOLOGY & BIOCHEMISTRY,8
82,25,BIOLOGY & BIOCHEMISTRY,7
83,26,BIOLOGY & BIOCHEMISTRY,24
84,27,BIOLOGY & BIOCHEMISTRY,16
85,28,BIOLOGY & BIOCHEMISTRY,16
86,29,BIOLOGY & BIOCHEMISTRY,20
87,30,BIOLOGY & BIOCHEMISTRY,11
88,31,BIOLOGY & BIOCHEMISTRY,0
89,32,BIOLOGY & BIOCHEMISTRY,18
90,33,BIOLOGY & BIOCHEMISTRY,23
91,34,BIOLOGY & BIOCHEMISTRY,2
92,35,BIOLOGY & BIOCHEMISTRY,0
93,36,BIOLOGY & BIOCHEMISTRY,14
94,37,BIOLOGY & BIOCHEMISTRY,8
95,38,BIOLOGY & BIOCHEMISTRY,1
96,39,BIOLOGY & BIOCHEMISTRY,1
97,40,BIOLOGY & BIOCHEMISTRY,22
98,41,BIOLOGY & BIOCHEMISTRY,13
99,42,BIOLOGY & BIOCHEMISTRY,1
100,43,BIOLOGY & BIOCHEMISTRY,0
101,44,BIOLOGY & BIOCHEMISTRY,10
102,45,BIOLOGY & BIOCHEMISTRY,17
103,46,BIOLOGY & BIOCHEMISTRY,39
104,47,BIOLOGY & BIOCHEMISTRY,18
105,48,BIOLOGY & BIOCHEMISTRY,0
106,49,BIOLOGY & BIOCHEMISTRY,16
107,50,BIOLOGY & BIOCHEMISTRY,14
108,51,BIOLOGY & BIOCHEMISTRY,0
109,52,BIOLOGY & BIOCHEMISTRY,36
110,53,BIOLOGY & BIOCHEMISTRY,5
111,54,BIOLOGY & BIOCHEMISTRY,3
112,55,BIOLOGY & BIOCHEMISTRY,0
113,56,BIOLOGY & BIOCHEMISTRY,1
114,0,ENGINEERING,17
115,1,ENGINEERING,0
116,2,ENGINEERING,1
117,3,ENGINEERING,9
118,4,ENGINEERING,0
119,5,ENGINEERING,15
120,6,ENGINEERING,103
121,7,ENGINEERING,199
122,8,ENGINEERING,4
123,9,ENGINEERING,1
124,10,ENGINEERING,244
125,11,ENGINEERING,0
126,12,ENGINEERING,8
127,13,ENGINEERING,11
128,14,ENGINEERING,0
129,15,ENGINEERING,10
130,16,ENGINEERING,1
131,17,ENGINEERING,0
132,18,ENGINEERING,18
133,19,ENGINEERING,0
134,20,ENGINEERING,4
135,21,ENGINEERING,0
136,22,ENGINEERING,2
137,23,ENGINEERING,9
138,24,ENGINEERING,0
139,25,ENGINEERING,10
140,26,ENGINEERING,0
141,27,ENGINEERING,0
142,28,ENGINEERING,1
143,29,ENGINEERING,0
144,30,ENGINEERING,0
145,31,ENGINEERING,286
146,32,ENGINEERING,0
147,33,ENGINEERING,0
148,34,ENGINEERING,34
149,35,ENGINEERING,8
150,36,ENGINEERING,1
151,37,ENGINEERING,10
152,38,ENGINEERING,46
153,39,ENGINEERING,55
154,40,ENGINEERING,0
155,41,ENGINEERING,0
156,42,ENGINEERING,0
157,43,ENGINEERING,28
158,44,ENGINEERING,0
159,45,ENGINEERING,7
160,46,ENGINEERING,0
161,47,ENGINEERING,9
162,48,ENGINEERING,96
163,49,ENGINEERING,0
164,50,ENGINEERING,0
165,51,ENGINEERING,10
166,52,ENGINEERING,0
167,53,ENGINEERING,0
168,54,ENGINEERING,1
169,55,ENGINEERING,1
170,56,ENGINEERING,0
171,0,GEOSCIENCES,43
172,1,GEOSCIENCES,0
173,2,GEOSCIENCES,0
174,3,GEOSCIENCES,0
175,4,GEOSCIENCES,0
176,5,GEOSCIENCES,1
177,6,GEOSCIENCES,0
178,7,GEOSCIENCES,7
179,8,GEOSCIENCES,0
180,9,GEOSCIENCES,0
181,10,GEOSCIENCES,74
182,11,GEOSCIENCES,0
183,12,GEOSCIENCES,0
