ID,大学名称,Wos机构名称,被引论文发文量,施引专利发文量
1,瓦赫宁根大学,WAGENINGEN UNIVERSITY RESEARCH,1565,4699
2,加州大学戴维斯分校,UNIVERSITY OF CALIFORNIA DAVIS,5260,11135
3,瑞典农业大学,SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES,1471,3275
4,Agro，巴黎高科,AGROPARISTECH,2157,3559
5,康奈尔大学,CORNELL UNIVERSITY,10696,29924
6,加州大学伯克利分校,UNIVERSITY OF CALIFORNIA BERKELEY,4323,16031
7,苏黎世联邦理工大学（瑞士联邦理工学院）,ETH ZURICH,5055,13654
8,威斯康星大学麦迪逊分校,UNIVERSITY OF WISCONSIN MADISON,7195,18123
9,雷丁大学,UNIVERSITY OF READING,1018,2747
10,中国农业大学,CHINA AGRICULTURAL UNIVERSITY,2641,3900
11,密歇根州立大学,MICHIGAN STATE UNIVERSITY,4637,10326
12,根特大学,GHENT UNIVERSITY,6506,14213
13,挪威生命科学大学,NORWEGIAN UNIVERSITY OF LIFE SCIENCES,445,729
14,不列颠哥伦比亚大学,UNIVERSITY OF BRITISH COLUMBIA,8677,21306
15,东京大学,UNIVERSITY OF TOKYO,18352,46001
16,爱荷华州立大学,IOWA STATE UNIVERSITY,3675,9978
17,霍恩海姆大学,UNIVERSITY HOHENHEIM,693,1245
18,哥本哈根大学,UNIVERSITY OF COPENHAGEN,8407,19468
19,圭尔夫大学,UNIVERSITY OF GUELPH,2198,4086
20,普渡大学,PURDUE UNIVERSITY,7000,16612
21,乔治奥古斯特哥廷根大学,UNIVERSITY OF GOTTINGEN,3732,8889
22,德州农工大学,TEXAS A M UNIVERSITY SYSTEM,494,1356
23,慕尼黑工业大学,TECHNICAL UNIVERSITY OF MUNICH,7929,19740
24,俄勒冈州立大学,OREGON STATE UNIVERSITY,2083,4229
25,昆士兰大学,UNIVERSITY OF QUEENSLAND,7597,16778
26,南京农业大学,NANJING AGRICULTURAL UNIVERSITY,1303,1913
27,伊利诺伊香槟分校,UNIVERSITY OF ILLINOIS URBANA CHAMPAIGN,699,2685
28,首尔国立大学,SEOUL NATIONAL UNIVERSITY SNU,11777,24563
29,梅西大学,MASSEY UNIVERSITY,851,1694
30,华南农业大学,SOUTH CHINA AGRICULTURAL UNIVERSITY,518,772
31,宾夕法尼亚州立大学,PENNSYLVANIA STATE UNIVERSITY,3677,15265
32,澳大利亚国立大学,AUSTRALIAN NATIONAL UNIVERSITY,2558,5483
33,维也纳农业大学,UNIVERSITY OF BODENKULTUR WIEN ,149,457
34,佛罗里达大学,UNIVERSITY OF FLORIDA,10084,24176
35,墨尔本大学,UNIVERSITY OF MELBOURNE,9350,21157
36,Sup Agro，蒙彼利埃,MONTPELLIER SUPAGRO,127,182
37,奥胡斯大学,AARHUS UNIVERSITY,3181,6691
38,北卡罗来纳州立大学,NORTH CAROLINA STATE UNIVERSITY,4619,10707
39,博洛尼亚大学,UNIVERSITY OF BOLOGNA,4302,8813
40,京都大学,KYOTO UNIVERSITY,12367,31871
41,俄亥俄州立大学,OHIO STATE UNIVERSITY,10732,26786
42,华沙生命科学大学,WARSAW UNIVERSITY OF LIFE SCIENCES,170,232
43,明尼苏达大学,UNIVERSITY OF MINNESOTA TWIN CITIES,277,554
44,赫尔辛基大学,UNIVERSITY OF HELSINKI,7227,16000
45,西澳大学,UNIVERSITY OF WESTERN AUSTRALIA,3471,7552
46,堪萨斯州立大学,KANSAS STATE UNIVERSITY,1583,2808
47,都柏林大学,UNIVERSITY COLLEGE DUBLIN,2421,5246
48,爱沙尼亚生命科学大学,ESTONIAN UNIVERSITY OF LIFE SCIENCES,41,65
49,科罗拉多州立大学,COLORADO STATE UNIVERSITY,2695,5793
50,圣保罗大学,UNIVERSIDADE DE SAO PAULO,6288,12583
